Designer,Photo,Name,Category,Primary source, Date available,Projects,<3
Cookie A,,Nanaimo socks, Socks,Cookie A Sock Club 2012, April 2012,134,112
Cookie A,,Ornette Socks, Socks,Cookie A. Knitwear Designs, June 2008,130,1446
Cookie A,,Katrina Rib, Pullover,Cookie A. Knitwear Designs,2005,129,2649
Cookie A,,Daphne, Socks,Cookie A Sock Club 2011, August 2011,121,441
Cookie A,,Reykjavik Socks, Socks,Cookie A Sock Club 2012, June 2012,121,396
Cookie A,,Nebula, Socks,Cookie A. Knitwear Designs, April 2009,115,1692
Cookie A,,Ripple Leaf, Socks,Cookie A Sock Club 2011, February 2011,115,476
Cookie A,,Solfar Socks, Socks,Cookie A Sock Club 2012, June 2012,110,240
Cookie A,,Wayward socks, Socks,Cookie A Sock Club 2012, February 2012,108,153
Cookie A,,Turbulence Socks, Socks,Cookie A Sock Club 2012, April 2012,105,221
Cookie A,,Orange Pekoe, Socks,Cookie A Sock Club 2011, June 2011,104,309
Cookie A,,Rhiannon Socks, Socks,Cookie A. Knitwear Designs, March 2007,101,1445
Cookie A,,Makoto socks, Socks,Cookie A Sock Club 2012, February 2012,100,100
Cookie A,,Flicker Sock, Socks,Cookie A. Knitwear Designs, April 2007,85,616
Cookie A,,Jubilee, Socks,Cookie A Sock Club 2011, June 2011,84,169
Cookie A,,Conic, Cardigan,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,82,1667
Cookie A,,Sarsaparilla Socks, Socks,Cookie A Sock Club 2012, October 2012,82,113
Cookie A,,Titania's Revenge, Socks,Blue Moon Fiber Arts, April 2007,82,227
Cookie A,,Tulip socks, Socks,Cookie A Sock Club 2013, April 2013,82,27
Cookie A,,Hex, Socks,Cookie A Sock Club 2011, October 2011,80,398
Cookie A,,Gyokuro, Socks,Cookie A Sock Club 2012, August 2012,75,168
Cookie A,,Slide, Socks,Cookie A Sock Club 2011, October 2011,75,1195
Cookie A,,Millicent Sock, Socks,Cookie A. Knitwear Designs, April 2007,73,630
Cookie A,,Django, Socks,Cookie A. Knitwear Designs, February 2008,72,690
Cookie A,,Calloway Socks, Socks,Cookie A. Knitwear Designs, November 2009,62,1038
Cookie A,,Hamantaschen Socks, Socks,Cookie A Sock Club 2012, October 2012,62,80
Cookie A,,Velma, Socks,Cookie A Sock Club 2011, August 2011,57,226
Cookie A,,Lateral, Socks,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,55,693
Cookie A,,Striation Socks, Socks,Cookie A Sock Club 2012, December 2012,55,93
Cookie A,,PB & J, Socks,Cookie A Sock Club 2011, April 2011,50,308
Cookie A,,Chicane, Cardigan,Wool People Vol. 4, December 2012,49,1292
Cookie A,,Red Thread Socks, Socks,Cookie A. Knitwear Designs, December 2007,49,294
Cookie A,,Rambutan socks, Socks,Cookie A Sock Club 2011, December 2011,47,116
Cookie A,,Flight socks, Socks,Cookie A Sock Club 2012, December 2012,44,67
Cookie A,,Dragon Crystal, Socks,Cookie A Sock Club 2011,2012,41,163
Cookie A,,Jedi Mind Tricks, Socks,Cookie A Sock Club 2012, August 2012,38,209
Cookie A,,Passerine Socks, Socks,"Sockupied, Summer 2010", August 2010,37,147
Cookie A,,#21 Poppy Socks, Socks,"Knit.1, Spring/Summer 2009", May 2009,35,139
Cookie A,,Pirouette socks, Socks,Cookie A Sock Club 2013, April 2013,35,26
Cookie A,,Moselle Socks, Socks,Cookie A. Knitwear Designs, April 2008,34,252
Cookie A,,Socktopod Socks, Socks,SOCK(topus)CLUB 2009, October 2009,29,472
Cookie A,,Willamette Hop, Socks,Knit Purl Sock Club, May 2009,23,110
Cookie A,,Zanzibar, Socks,The Loopy Ewe, September 2008,23,216
Cookie A,,Pivot, Pullover,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,21,1276
Cookie A,,Radial, Cardigan,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,17,409
Cookie A,,Parallelogram, Scarf,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,16,393
Cookie A,,Rotation, Cardigan,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,16,1478
Cookie A,,Slope, Pullover,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,16,331
Cookie A,,Wan Jai Socks, Socks,My Grandmother's Knitting: Family Stories and Inspired Knits from Top Designers, September 2011,15,306
Cookie A,,Slant, Mittens/Gloves,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,14,261
Cookie A,,The Sock With No Name, Socks,Blue Moon Fiber Arts, April 2007,12,316
Cookie A,,#08 Square Shawl, Shawl/Wrap,"Vogue Knitting, Winter 2007/08", November 2007,11,62
Cookie A,,Munch hoodie vest, Vest,A Verb for Keeping Warm, October 2012,10,250
Cookie A,,Cylinder, Shawl/Wrap,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,9,136
Cookie A,,Bambuzzled Scarf, Scarf,Blue Moon Fiber Arts, April 2007,8,111
Cookie A,,Quotient, Jacket,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,7,687
Cookie A,,Obtuse, Pullover,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,5,292
Cookie A,,Wavy Edge Lace Shawl, Shawl/Wrap,Vogue Knitting: Shawls & Wraps, November 2009,4,10
Cookie A,,Dome, Hat,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,3,108
Cookie A,,Rectangle, Vest,Cookie A Knitwear Volume 1: Shapes + Form, August 2012,1,141
Stephen West,,HofsÌ_s Cowl ,Scarf ,Westy's Besties KAL ,3/13/13,3,184
Stephen West,,Renegade Slouch ,Hat ,amirisu Spring 2013 ,2/13/13,4,134
Stephen West,,StrÌ¦nd ,Vest ,Westy's Besties KAL ,3/13/13,7,203
Stephen West,,Akimbo Blanket ,Blanket ,Malabrigo Book Three ,1/11/13,9,113
Stephen West,,Cambio ,Vest ,Malabrigo Book Four ,8/12/13,9,391
Stephen West,,Dustland Legwarmers ,Socks ,Westknits Book 4: Made for Movement ,9/12/13,9,283
Stephen West,,HofsÌ_s Pullover ,Pullover ,Westy's Besties KAL ,2/13/13,9,444
Stephen West,,Yang ,Shawl/Wrap ,Stephen West's Ravelry Store ,10/12/13,10,301
Stephen West,,Baxtur ,Hat ,Westknits Book 5: Midgard ,12/12/13,11,243
Stephen West,,Mudmilk ,Hat ,Westknits Book 4: Made for Movement ,9/12/13,11,120
Stephen West,,Drangey ,Pullover ,Westy's Besties KAL ,3/13/13,16,1006
Stephen West,,Westloop ,Scarf ,Westy's Besties KAL ,3/13/13,20,898
Stephen West,,Featheron ,Scarf ,Westknits Book 4: Made for Movement ,6/12/13,21,245
Stephen West,,SÌ_lfar ,Shawl/Wrap ,Westknits Book 5: Midgard ,12/12/13,21,556
Stephen West,,Gullfoss ,Vest ,Westknits Book 5: Midgard ,2013,22,605
Stephen West,,HofsÌ_s Mitts ,Mittens/Gloves ,Westy's Besties KAL ,2/13/13,22,119
Stephen West,,Chevry ,Scarf ,westknits ,3/12/13,23,664
Stephen West,,Seaway ,Hat ,Westknits Book Three ,10/11/13,23,178
Stephen West,,Uroboro ,Shawl/Wrap ,Malabrigo Book Four ,8/12/13,23,570
Stephen West,,Vertitwist ,Hat ,Westknits Book 4: Made for Movement ,6/12/13,28,277
Stephen West,,Itaca ,Scarf ,Westknits Book 4: Made for Movement ,9/12/13,31,769
Stephen West,,Bentgrass ,Scarf ,westknits ,2/10/13,37,347
Stephen West,,Sun Satchel ,Bag ,Westknits Book Three ,10/11/13,37,710
Stephen West,,Shrowl ,Shrug ,Westknits Book 4: Made for Movement ,9/12/13,38,872
Stephen West,,Knightly ,Scarf ,westknits ,10/10/13,39,819
Stephen West,,TÌ¼ngata ,Shawl/Wrap ,Westy's Besties KAL ,2/13/13,40,935
Stephen West,,Raxtur ,Hat ,Westknits Book 5: Midgard ,11/12/13,43,500
Stephen West,,Filbert ,Scarf ,Westknits Book Two ,2/11/13,44,246
Stephen West,,In Defense of Tights ,Socks ,Westknits ChoreoKAL: Stretch It! ,11/12/13,45,214
Stephen West,,HofsÌ_s Hat ,Hat ,Westy's Besties KAL ,2/13/13,48,509
Stephen West,,Thornton ,Hat ,Westknits Book Two ,2/11/13,49,345
Stephen West,,Skid ,Hat ,westknits ,5/10/13,51,489
Stephen West,,Cumulonimbus ,Scarf ,Westknits Shawl Club ,4/12/13,52,640
Stephen West,,Kex Hat ,Hat ,Westy's Besties KAL ,2/13/13,53,349
Stephen West,,Moose River ,Shawl/Wrap ,Westknits Book Three ,10/11/13,53,685
Stephen West,,Stringband ,Shawl/Wrap ,Westknits Book 4: Made for Movement ,9/12/13,53,735
Stephen West,,Kex Blanket ,Blanket ,Westy's Besties KAL ,2/13/13,56,2106
Stephen West,,Purl Ridge Hat ,Hat ,Malabrigo Book Three ,2011,59,502
Stephen West,,Splitbark ,Mittens/Gloves ,Westknits Book Two ,2/11/13,60,702
Stephen West,,Longview ,Scarf ,Westknits Book Three ,10/11/13,61,711
Stephen West,,Knothole ,Scarf ,westknits ,10/10/13,62,881
Stephen West,,Caldwell ,Vest ,Wool People Vol. 1 ,8/11/13,70,782
Stephen West,,Wedgewood ,Scarf ,Westknits Book Three ,10/11/13,70,488
Stephen West,,Bedrock ,Hat ,Westknits Book Three ,10/11/13,72,499
Stephen West,,Drawbridge ,Shawl/Wrap ,Westknits Book Two ,2/11/13,72,364
Stephen West,,Skinny Skid ,Hat ,Westknits Book One ,10/10/13,76,708
Stephen West,,Brickstreet ,Blanket ,Westknits Book Two ,2/11/13,81,1178
Stephen West,,Oeste ,Scarf ,Westknits Shawl Club ,2/12/13,81,438
Stephen West,,Pom Pom It! ,Hat ,Westknits ChoreoKAL: Stretch It! ,11/12/13,81,232
Stephen West,,Birdwing ,Scarf ,westknits ,2/11/13,82,875
Stephen West,,Kex Scarf ,Scarf ,Westy's Besties KAL ,2/13/13,87,1331
Stephen West,,Modish Cowl ,Shawl/Wrap ,westknits ,10/10/13,89,1347
Stephen West,,Kvosin ,Hat ,Westy's Besties KAL ,2/13/13,90,1016
Stephen West,,Helm ,Hat ,westknits ,10/11/13,100,803
Stephen West,,Diamondback Mitts ,Mittens/Gloves ,westknits ,10/9/13,102,724
Stephen West,,Garter Squish ,Blanket ,Stephen West's Ravelry Store ,12/12/13,104,1639
Stephen West,,Vulpix ,Scarf ,Westknits Shawl Club ,3/12/13,106,1095
Stephen West,,Flagstone ,Scarf ,Westknits Book One ,10/10/13,107,704
Stephen West,,Lakedale Shawl ,Shawl/Wrap ,Malabrigo Book Three ,2011,114,1587
Stephen West,,Bandwidth ,Hat ,Westknits Book Two ,2/11/13,115,469
Stephen West,,Westlake ,Scarf ,westknits ,2012,116,1170
Stephen West,,Slipped Rib Scarf ,Scarf ,westknits ,5/9/13,117,1697
Stephen West,,Thendara ,Scarf ,Westknits Book Three ,10/11/13,120,1022
Stephen West,,Transatlantic ,Scarf ,Westknits Book Two ,2/11/13,123,1077
Stephen West,,Piece Out ,Hat ,Westknits Book One ,10/10/13,128,585
Stephen West,,Bolting ,Shawl/Wrap ,Westknits Book 4: Made for Movement ,7/12/13,130,1654
Stephen West,,Westward ,Hat ,Westknits Book One ,10/10/13,133,843
Stephen West,,Dolinar ,Shawl/Wrap ,Westknits Book Two ,2/11/13,139,968
Stephen West,,Barndom ,Scarf ,Westknits Book 4: Made for Movement ,9/12/13,141,1816
Stephen West,,Arroway ,Scarf ,Westknits Shawl Club ,2012,146,772
Stephen West,,Old Forge ,Blanket ,Westknits Book Three ,10/11/13,149,1801
Stephen West,,Glacier Sweep ,Scarf ,Westknits ChoreoKAL: Stretch It! ,12/12/13,157,1433
Stephen West,,Coler ,Mittens/Gloves ,Westknits Book Two ,2/11/13,162,621
Stephen West,,Aurora Expanse ,Hat ,Westknits ChoreoKAL: Stretch It! ,11/12/13,170,496
Stephen West,,Dustland Mitts ,Mittens/Gloves ,Westknits Book Three ,10/11/13,181,1261
Stephen West,,Creekbed scarf ,Scarf ,"Knitty, First Fall 2011 ",6/11/13,187,2223
Stephen West,,Loxley ,Scarf ,Westknits Book Two ,2/11/13,190,1971
Stephen West,,Meadowbrook ,Scarf ,Westknits Book One ,10/10/13,194,1016
Stephen West,,Esjan ,Scarf ,Westknits Book 5: Midgard ,11/12/13,215,1515
Stephen West,,Urbana ,Shawl/Wrap ,Westknits Book One ,10/10/13,215,836
Stephen West,,Honegart ,Hat ,Westknits Book Two ,2/11/13,232,1020
Stephen West,,Groove ,Scarf ,"Knitty, Winter 2011 ",12/11/13,249,2277
Stephen West,,Flamboyan ,Shawl/Wrap ,westknits ,8/10/13,265,3224
Stephen West,,Sharktooth ,Scarf ,Westknits Shawl Club ,12/11/13,280,1647
Stephen West,,Blue Whale ,Shawl/Wrap ,westknits ,10/10/13,298,2326
Stephen West,,Metalouse ,Shawl/Wrap ,"Knitty, Winter 2012 ",12/12/13,320,3838
Stephen West,,Gyllis ,Scarf ,westknits ,10/11/13,360,3291
Stephen West,,Geysir Stretch ,Scarf ,Westknits ChoreoKAL: Stretch It! ,11/12/13,420,1534
Stephen West,,Chadwick ,Shawl/Wrap ,Westknits Book One ,10/10/13,495,2476
Stephen West,,Little Colonnade ,Shawl/Wrap ,westknits ,9/9/13,587,2745
Stephen West,,Dustland Hat ,Hat ,Westknits Book Three ,10/11/13,610,2850
Stephen West,,Purl Ridge Scarf ,Scarf ,westknits ,2/10/13,1249,6334
Stephen West,,Botanic Hat ,Hat ,westknits ,7/9/13,1335,4002
Stephen West,,Colonnade Shawl ,Shawl/Wrap ,"Knitty, Fall 2009 ",9/9/13,1408,7015
Stephen West,,Pogona ,Scarf ,Westknits Book One ,7/10/13,1723,7382
Stephen West,,Clockwork ,Scarf ,westknits ,10/10/13,1883,8275
Stephen West,,Herbivore ,Scarf ,westknits ,9/9/13,1917,6908
Stephen West,,Spectra ,Scarf ,westknits ,6/11/13,2311,10610
Stephen West,,Earth & Sky ,Shawl/Wrap ,westknits ,8/11/13,2330,4877
Stephen West,,Rockefeller ,Shawl/Wrap ,westknits ,7/12/13,2771,4813
Stephen West,,Windschief ,Shawl/Wrap ,westknits ,10/9/13,3189,8106
Stephen West,,Scarf ,westknits ,11/9/13,417,3723,
Stephen West,,Boneyard Shawl ,Scarf ,westknits ,4/9/13,3930,14313
Stephen West,,Daybreak ,Scarf ,westknits ,8/9/13,4503,13153
Stephen West,,Saema ,Mittens/Gloves ,Westknits Book 5: Midgard ,12/12/13,,103
